"language","X1.000000","X2.000000","X3.000000","X4.000000","X5.000000","X6.000000","X7.000000","X8.000000","X9.000000","X10.000000","X11.000000","X12.000000"
"FR",6.868094,-10.051478,7.711084,8.888669,-5.472246,14.502432,-8.306207,6.345902,3.401150,-2.480286,3.915966,-4.976986
"FR",11.937828,-9.070287,4.773991,9.833400,-7.773159,11.984825,-9.258848,6.588931,2.999879,-5.498416,4.126301,-2.877311
"FR",9.985760,-8.976570,6.122982,8.832982,-7.740966,14.272082,-6.838790,8.255205,1.913148,-4.204404,3.748036,-5.382516
"FR",13.885425,-6.233852,2.229776,10.993770,-8.107625,12.453029,-5.309755,7.431524,0.767271,-4.333920,5.337284,-9.614959
"FR",13.466168,-5.783487,0.693889,8.240252,-8.625919,14.288254,-6.651369,7.387666,2.742086,-5.090180,4.722493,-3.624783
"FR",13.924039,-7.136521,5.245372,14.060494,-6.692897,12.861826,-6.736494,4.859774,2.872938,-6.697695,4.615561,-5.127709
"FR",11.010367,-7.384443,1.917493,14.137857,-7.562776,8.674802,-7.466133,6.909112,1.764772,-3.516485,8.485256,-7.841633
"FR",15.195717,-6.538510,0.864829,15.167421,-8.624122,11.053795,-6.124841,4.914569,0.596662,-7.389290,5.953790,-7.215543
"FR",8.122277,-9.263560,4.955379,12.580821,-6.228107,14.068422,-7.872501,7.151342,0.802142,-4.357340,3.342179,-6.660246
"FR",11.436625,-1.856188,1.522482,13.451522,-4.532381,14.851000,-6.921417,5.705517,2.153224,-6.030019,4.674468,-5.719119
"FR",13.165952,-6.291883,-0.213178,10.129165,-12.908842,9.139081,-3.884775,5.614089,0.561419,-7.235565,2.251630,-8.734725
"FR",9.442768,-8.859284,7.370241,10.453415,-6.544900,14.157990,-8.825734,6.007591,0.497794,-3.697170,4.437547,-5.309077
"FR",11.581611,-6.134168,1.899728,16.178942,-6.151054,14.739494,-4.501308,5.508022,1.428052,-6.123261,4.645507,-5.723537
"GE",-2.880823,2.407136,-0.817325,3.176673,-4.951863,10.108442,-12.873075,6.805538,-1.618936,-1.804693,4.219989,-4.777442
"GE",4.240615,-0.094447,-1.364827,4.950464,-6.543754,9.743854,-12.286012,4.815466,-0.127634,-1.968143,4.127582,-7.771468
"GE",5.648966,-3.186932,-0.139521,-0.725240,-7.262021,11.693688,-12.767169,8.613491,-0.362161,-3.459027,5.874195,-5.873321
"GE",4.025683,0.356352,2.123903,2.671278,-7.138006,11.893705,-11.243106,8.075580,-0.243573,-4.710040,4.184636,-5.677876
"GE",2.419343,-2.099892,2.875509,4.739944,-6.689006,10.349085,-12.738915,6.413139,-0.577457,-4.680489,4.174054,-5.946643
"GE",1.699453,0.647671,1.332152,3.542161,-4.320318,10.581774,-14.030280,6.819568,-1.747805,-3.300516,5.209369,-6.946679
"GE",2.485102,3.505119,0.111237,3.856722,-5.933101,10.887639,-11.590680,8.100160,-0.267677,-5.337042,3.799657,-5.356914
"GE",-2.863910,1.608425,-1.575423,4.480974,-4.044910,9.854652,-12.430810,7.228188,-1.795629,-1.801883,3.681854,-5.804928
"GE",1.917804,-2.916444,2.328219,3.683352,-6.599977,11.624812,-12.170799,6.502105,-2.029338,-3.048114,3.764480,-6.623061
"GE",2.374503,3.526736,-4.776980,4.303826,-4.158953,11.551527,-10.421067,5.407984,-1.349273,-4.147459,4.146725,-4.911465
"GE",7.431262,-3.711100,-0.360168,3.869134,-8.228539,10.636192,-13.482686,4.417115,0.622808,-1.434304,5.317209,-8.697709
"GE",2.731374,-0.569400,2.248830,5.482722,-6.367244,9.240327,-13.832780,6.290854,0.721021,-3.321854,2.554318,-9.162163
"GE",3.570871,0.876038,0.861173,3.566204,-7.796934,11.983973,-11.114653,6.245213,-0.303954,-2.911860,3.675607,-5.105824
"GE",6.131591,-1.172270,1.286914,3.771094,-7.465849,12.579957,-12.472724,5.511718,0.626019,-3.145062,5.371699,-6.158565
"GE",5.818891,-2.479246,2.087605,3.911587,-6.988192,10.437128,-13.755028,5.922611,0.714205,-1.518099,4.627938,-8.775748
"GE",5.260007,-4.809373,3.745731,4.557293,-5.853547,13.670204,-10.862849,2.795047,1.535211,-1.147868,5.152335,-1.853668
"GE",7.266305,-2.226078,1.169851,4.777130,-9.526386,10.532668,-10.750208,5.093525,0.416796,-3.714795,5.202507,-2.365555
"GE",7.031558,-0.066828,-0.591358,8.533170,-5.898010,11.152172,-9.896879,4.691168,1.346868,-0.448676,1.419259,-5.570354
"GE",6.352581,1.371861,-2.222923,6.041201,-8.617573,9.719259,-10.325869,5.702149,1.229227,-4.141288,2.926394,-5.406459
"GE",0.942360,-0.518287,-1.593180,4.222678,-5.481755,10.482671,-10.698943,5.524382,1.283396,-2.067741,2.405412,-3.286886
"GE",7.974355,-4.237204,0.946003,8.600208,-5.470076,11.524900,-11.350359,3.508475,0.218275,-1.067198,3.670303,-6.685860
"GE",4.987784,-3.340093,-0.770061,6.482683,-7.409283,11.849202,-9.012072,3.406549,-1.187047,-3.605992,4.321284,-3.017102
"GE",7.350161,-3.491529,2.482493,6.179832,-7.262914,11.847575,-10.327845,4.184916,0.289150,-4.383236,5.080412,-4.758754
"GE",1.649263,-0.700865,-1.887409,3.413834,-6.868504,10.714568,-11.094698,6.617318,-0.464003,-2.199675,3.412144,-3.245269
"GE",-2.020461,1.111298,-2.107064,6.896539,-3.377759,10.684334,-10.489573,5.184497,-2.244897,-1.704590,3.565678,-2.529994
"GE",6.121156,-2.935379,0.005307,6.866387,-6.244677,12.767512,-10.152215,4.508178,0.718449,-3.398219,3.101451,-2.967535
"GE",2.495830,-1.875598,1.982669,6.652936,-6.108521,12.422084,-9.261300,5.136995,-0.108626,-1.123193,3.367770,-1.504672
"GE",2.356541,-1.836459,1.542366,6.131899,-6.831273,11.340206,-10.448210,5.141915,-0.935226,-1.467817,4.231722,-3.582374
"GE",7.018886,-2.597246,1.883076,6.000781,-6.047509,12.573612,-10.785588,4.497041,0.589480,-2.021053,2.646613,-4.738374
"GE",5.603786,-11.024027,6.383605,2.725599,-8.731318,12.232624,-8.595817,4.014854,-3.508426,-4.050159,5.368021,-3.716241
"IT",-1.892396,-3.483293,5.144796,7.246321,-7.198910,8.622762,-11.378867,3.747758,0.379406,-1.659432,0.596265,-2.196695
"IT",2.693464,-5.052710,3.021026,6.262164,-9.998749,8.518217,-11.358028,1.470443,1.310130,-3.642371,-0.839416,0.463408
"IT",2.718099,-5.837986,3.822594,7.221969,-10.133067,9.329623,-12.263201,1.704657,0.170311,-3.803533,-0.682318,-2.361943
"IT",5.001143,-4.331844,4.761264,4.156639,-11.015760,10.558650,-10.969351,4.259904,-0.798665,-5.808902,-1.386996,-3.862959
"IT",0.696453,-3.499188,1.603660,4.689503,-8.448121,10.876442,-10.623479,2.485637,-1.689226,-2.142530,1.754174,-4.477096
"IT",4.833926,-6.220445,6.431300,4.862321,-11.955694,10.895700,-11.177470,1.999419,-1.932037,-2.905209,-1.606830,-5.648663
"IT",0.987514,-3.170346,3.474724,4.758231,-8.815665,10.651700,-10.976912,4.214003,-2.457686,-3.663846,-1.045261,-5.363230
"IT",1.167592,-1.304318,0.639279,5.765370,-8.667793,8.874332,-11.643034,3.693232,-0.878749,-3.163781,2.230836,-0.596542
"IT",5.777123,1.749341,1.844066,11.297983,-9.906389,7.948936,-8.283451,2.659756,0.152172,-3.897265,-0.914526,-2.923872
"IT",1.587482,0.005461,-1.373702,2.167981,-11.628042,11.474254,-7.998089,5.759851,-0.733238,-3.075858,3.092659,-1.522618
"IT",-1.270663,-0.781674,1.673638,7.571520,-8.549877,8.174395,-10.893478,5.119630,-0.324351,-3.813392,-0.611499,-0.560210
"IT",-4.835242,1.507048,-0.129089,2.550685,-7.169083,10.999750,-9.278242,5.906369,-2.404168,-1.055334,-0.311691,-3.124008
"IT",2.462373,-0.401984,-1.315420,7.096387,-9.708779,7.501631,-9.610044,2.721599,0.608331,-4.751264,0.583645,-1.787141
"IT",3.311591,0.134005,-0.152898,7.560211,-10.577780,6.859596,-10.027558,2.050012,-0.680483,-2.611351,0.422836,-2.917881
"IT",3.787054,-0.961430,-1.025480,7.711923,-10.583443,8.573902,-9.118101,1.020234,0.038866,-5.260792,0.407796,0.227588
"IT",10.808621,-8.283689,0.200663,11.331217,-4.263601,14.156127,-12.001036,2.592876,-3.599761,-2.112243,7.452259,-8.731785
"IT",-0.718744,0.827186,-1.639385,7.281519,-3.614131,11.562630,-10.305143,6.611683,-0.843089,-0.888524,4.410075,-4.401426
"IT",0.156076,-1.205436,-0.371243,5.216925,-4.399391,10.504326,-9.745647,6.660797,-1.749082,-3.327718,5.752471,-3.106894
"IT",-3.995852,0.944184,-0.402839,9.502629,-2.462967,10.734434,-9.788837,6.228164,-0.200593,0.707209,3.513096,-2.793770
"IT",3.239861,-2.494603,2.120337,7.515237,-4.825250,13.637850,-9.382526,5.280040,-0.700377,-2.043680,4.376177,-1.797158
"IT",0.906846,1.369897,-1.775439,8.235097,-5.219311,12.414069,-7.739050,6.459635,-0.314050,-1.226397,2.311829,-4.506859
"IT",-1.591825,3.147059,-1.316761,8.479270,-3.232697,11.212137,-9.015926,6.194512,-2.031739,-0.370499,5.243465,-3.953737
"IT",-3.763313,-2.390785,1.255306,3.707947,-2.490523,11.274784,-11.631494,3.267753,-1.624155,-1.176988,3.384411,-4.535772
"IT",1.804606,-6.303218,5.061584,9.114858,-4.330391,12.599986,-11.186288,6.409369,0.044005,-0.766784,5.402241,-7.171192
"IT",0.700406,0.548788,0.359579,5.882786,-5.046089,11.649433,-11.346227,7.679066,-1.580897,-3.713498,4.371938,-5.113579
"IT",-1.114959,0.010192,0.300236,8.792059,-3.106897,11.651104,-9.967622,7.048895,-0.663685,-1.048663,3.981390,-5.172704
"IT",-3.250507,-0.373824,-1.004004,6.721494,-3.066006,11.051992,-11.304127,5.865989,-0.995240,-2.055192,3.644763,-4.187234
"IT",4.529726,-4.081027,-0.280456,8.684028,-4.712186,13.828990,-10.000077,5.328037,-0.503693,-1.544045,4.336911,-5.662285
"IT",-2.899403,2.183398,-3.753354,5.036476,-3.330414,8.737028,-10.954552,4.843103,-3.015722,-3.358776,4.808989,-3.608235
"IT",4.095690,-4.969492,4.013537,9.329499,-3.987953,13.815961,-12.623912,5.175934,-0.169278,-2.175328,5.180365,-6.636020
"UK",1.540149,-7.160007,3.778773,6.718810,-9.347320,8.090564,-11.775473,3.118172,-0.357330,-4.251421,-0.937370,-5.712351
"UK",3.976945,-3.000409,0.032001,9.452657,-8.132359,10.151162,-9.986733,1.355630,-0.373630,-3.752769,1.376127,-4.728709
"UK",2.914937,-4.191264,3.497829,10.374831,-6.313394,10.032890,-10.618604,4.823223,1.174930,-3.979059,1.876738,-4.466675
"UK",4.915523,-1.235624,0.599622,7.392184,-6.940796,12.207071,-9.472306,4.591876,1.369664,-4.563814,2.402545,-4.857425
"UK",6.360545,-0.077513,0.726970,8.233986,-9.050965,11.700435,-7.767177,4.399710,-0.013150,-5.083522,2.555932,-6.796220
"UK",4.879429,-2.784061,2.087431,9.667525,-7.818006,10.904279,-9.695466,3.601829,0.851031,-4.248025,1.307768,-6.080562
"UK",0.900426,0.783411,0.399178,9.477399,-5.838887,10.943125,-10.554887,1.863140,0.902075,-2.238008,1.083771,-4.955720
"UK",4.899868,-4.395978,0.450237,6.707068,-6.726032,10.379330,-9.644910,4.257515,-0.784425,-5.477461,2.214938,-7.412245
"UK",3.593214,-4.871969,4.859762,11.389301,-7.552948,9.313877,-9.762369,3.322982,-0.651156,-6.124860,-0.406340,-7.067079
"UK",-0.415037,-6.032415,3.089097,3.658782,-6.605594,11.286638,-12.274648,4.609877,-1.257864,-3.036236,1.270443,-4.884417
"UK",6.254666,-1.353545,-0.536740,9.001803,-7.616913,12.533470,-8.142339,3.414226,0.166460,-4.867848,2.832956,-5.000070
"UK",2.452779,-4.405981,0.492646,9.092337,-5.571273,11.483017,-9.818405,3.977047,0.399216,-5.288366,1.976615,-3.873465
"UK",4.880256,-6.572686,2.147215,9.644647,-6.495991,10.603431,-9.646614,1.909165,-0.186767,-4.036755,3.214643,-5.445382
"UK",7.597610,-6.090543,1.139395,4.066777,-10.119447,10.737079,-10.289356,2.704531,-1.934970,-6.056621,2.098567,-5.415127
"UK",4.296572,-0.458798,-0.048849,6.018170,-8.964382,11.696949,-7.793670,4.374993,-1.390765,-4.350247,2.274859,-4.059551
"UK",3.709426,-4.146003,1.031719,8.220115,-6.970878,9.198375,-9.052197,3.383055,-1.018048,-5.257070,0.764786,-7.749922
"UK",2.438052,-6.937715,0.684190,8.328181,-5.870123,9.331866,-9.380170,3.408207,0.785790,-2.380700,2.329838,-5.334673
"UK",3.964749,-2.130905,1.659677,8.814153,-5.255412,11.784360,-9.496758,4.809716,-1.100693,-3.878146,2.410177,-6.568623
"UK",1.945427,-3.540713,2.539823,6.418168,-5.043785,11.468704,-9.306622,6.010699,0.510749,-1.173177,4.020204,-5.790278
"UK",3.810948,-8.979283,5.738310,5.517570,-6.825630,11.063547,-10.026628,5.144971,-2.098345,-2.065396,3.709079,-8.235718
"UK",4.300413,-4.493086,-1.164146,9.914118,-6.924050,9.733889,-8.321594,3.439366,0.132850,-2.573591,2.511256,-5.500151
"UK",-0.458483,-0.811747,-3.077295,5.904791,-6.851304,8.417828,-8.788095,4.622654,-0.977714,-2.069653,2.230094,-5.591355
"UK",0.047164,-5.262341,1.059922,7.630676,-6.023055,9.430773,-10.593659,4.900896,-0.749461,-2.568095,1.309710,-5.941409
"UK",-0.604683,-6.917135,5.041063,9.041541,-6.151566,8.941550,-8.988871,6.992821,0.917500,-3.362391,0.311681,-7.100991
"UK",4.520497,-3.951545,0.195947,9.196178,-6.311478,9.144795,-8.804091,4.879738,-1.010505,-2.976937,3.927426,-7.168148
"UK",5.213085,-8.050842,3.173941,8.019952,-7.033891,10.347433,-11.542085,3.360068,1.265037,-2.321659,0.821799,-6.952012
"UK",-1.076764,-4.752123,0.666415,7.225037,-5.819891,8.549173,-10.889840,4.952465,0.279434,-2.338553,1.371108,-5.002484
"UK",-2.595753,-2.466705,0.420945,5.337807,-5.523456,9.905345,-10.124395,4.748502,-0.090000,-1.663290,-0.500254,-5.029416
"UK",4.427400,-6.483516,3.953777,10.968434,-6.401293,10.259923,-8.440395,4.301173,-0.178598,-2.875745,1.006226,-8.869338
"UK",4.211952,-9.878730,3.830420,7.723082,-7.358777,9.424072,-10.013526,4.242594,1.551911,-0.941738,1.649726,-5.580436
"UK",2.065603,-2.825504,-0.841736,8.050974,-3.925180,7.809344,-9.710399,7.119289,-0.537987,-9.266219,4.257340,-0.786079
"UK",-1.529188,-2.789115,-1.092792,8.965877,0.690753,8.436338,-11.714273,6.222310,-1.634818,-6.987456,4.964214,-3.589897
"UK",2.773589,-3.729875,4.273387,12.656882,-0.132277,11.318620,-10.548630,8.481028,-0.017818,-4.429544,2.779309,-7.878189
"UK",1.467842,-1.744847,-2.250643,12.389326,-0.805882,7.391664,-10.843019,5.400014,-1.193482,-8.291844,3.326061,-3.761010
"UK",5.342274,-6.556931,2.967670,14.348733,0.178066,9.968971,-11.458286,7.310798,-0.610540,-9.096620,6.342750,-6.091090
"UK",1.872594,-0.640211,-2.492335,6.508278,-8.297240,7.463314,-8.754409,6.250665,-0.925318,-7.181446,3.810329,0.910715
"UK",-1.798625,-0.749230,-0.976822,11.370081,-1.109260,7.738946,-9.915901,4.704843,-2.792582,-4.472800,4.009651,-3.577406
"UK",3.678969,-3.427041,1.652349,10.477922,-3.512239,9.244004,-11.709612,5.706186,0.480546,-7.986650,3.461840,-0.897684
"UK",3.181085,-2.870763,0.401458,9.293382,-6.215012,6.677004,-9.475558,7.796534,-2.083039,-10.567039,4.982343,-1.562412
"UK",4.090749,-1.395089,0.964913,9.469582,-2.938360,8.598569,-11.257915,8.922760,-1.059103,-9.364360,6.666935,-4.087327
"UK",-6.067831,-0.112295,-2.825168,7.323831,-0.165894,8.002683,-10.834446,6.497174,-4.820865,-5.696157,4.258180,-2.770911
"UK",1.684178,-1.653604,-0.465159,11.942367,1.411211,10.786482,-11.839924,4.702557,0.344964,-8.151719,3.439474,-1.751145
"UK",3.953725,-1.361076,1.206743,13.944107,-0.068082,9.046643,-9.754247,9.073109,0.330880,-9.084999,5.513777,-4.716331
"UK",2.233059,-4.204661,-0.904315,6.988614,-3.918616,8.643563,-8.452480,7.670505,-3.743030,-10.619704,5.204564,-2.044517
"UK",-0.217498,1.643641,-1.189818,9.452309,-3.764534,7.070751,-8.430669,9.319347,-2.475413,-10.297535,2.627325,-1.945152
"US",4.796552,-0.331376,-1.992637,8.255902,-7.618889,8.342144,-7.300458,3.412246,-1.172922,-0.881845,3.770866,-4.281925
"US",0.159779,-1.332348,2.450547,7.386981,-4.630167,10.412679,-11.695876,3.497473,0.096103,-1.988754,0.989782,-4.628567
"US",5.957769,-3.266850,2.724709,12.459117,-7.911121,8.423609,-9.145672,2.389584,0.132818,-0.999043,2.907067,-5.476551
"US",9.991758,-0.332813,1.405033,10.350986,-11.019352,10.227298,-6.442390,5.233101,-2.447897,-3.396777,4.783001,-5.662302
"US",0.820302,-3.262802,4.156584,9.442707,-4.754529,10.007734,-9.918584,4.600878,0.203811,-1.212307,1.288139,-5.086746
"US",3.548871,-0.509842,3.152711,8.598209,-8.659209,9.414464,-8.755969,4.648709,1.336222,-2.813602,1.157400,-5.071266
"US",3.386938,-3.624867,2.844743,7.858070,-5.491475,9.556284,-11.206218,3.797096,-0.425720,-0.377900,4.158883,-5.372139
"US",10.941727,0.071436,-6.186583,8.962097,-7.445360,10.130789,-7.781156,2.679868,-0.457637,-0.644577,3.199741,-5.900776
"US",10.919828,1.439609,-0.877240,7.649672,-11.489000,10.415980,-5.175982,3.969971,-1.143527,-3.125577,4.958958,-6.509468
"US",11.769104,0.432273,-1.193304,6.320130,-11.191478,8.961999,-8.169869,5.480721,-0.713786,0.427657,4.848266,-5.974264
"US",10.071484,3.570765,0.123623,7.617806,-11.425107,7.936366,-7.467999,6.699051,-0.469237,-0.146178,2.604336,-8.589759
"US",0.250045,-1.559825,1.100980,7.842187,-6.543215,8.645897,-11.120860,4.831462,0.041534,0.076532,2.908753,-4.010994
"US",6.885858,-6.013773,2.874427,6.301927,-7.782888,8.991448,-12.087139,4.216515,0.407290,-0.950390,4.872687,-6.666292
"US",6.956432,-6.417531,7.463314,8.572789,-6.798961,9.837446,-12.151695,3.327673,0.062097,-1.523554,5.012980,-6.635311
"US",4.149148,-3.914145,1.209080,11.036405,-6.531177,10.980004,-10.975784,1.864848,1.506165,-1.506037,-0.145479,-4.576490
"US",4.954206,-4.323565,9.123976,9.922292,-7.913706,9.527460,-10.974534,4.868015,-0.579747,-5.630114,2.328682,-7.948971
"US",5.178245,-5.049401,5.980721,10.562531,-8.000220,10.340584,-11.530766,5.072530,2.297954,-2.365443,4.622242,-5.539080
"US",7.631137,-4.502370,2.207515,8.703950,-6.727109,12.245738,-12.098875,2.368179,-0.189056,-0.766763,5.561797,-7.510298
"US",4.100426,-5.955527,4.930803,10.015508,-5.519943,11.824532,-10.739647,3.614346,-0.454633,-4.408752,5.142857,-2.857504
"US",6.521513,0.681414,0.712128,9.123208,-5.610344,12.066303,-9.890520,6.240084,-0.851420,-6.118021,5.095971,-4.463800
"US",3.362900,-5.279764,7.357451,8.326915,-6.115168,10.327969,-10.434079,6.536561,-0.412717,-4.929815,3.849205,-4.384082
"US",3.152069,-3.448971,7.461997,11.209770,-7.580997,8.749811,-11.001923,6.495053,-3.035202,-5.305542,5.351938,-2.782708
"US",4.411312,-4.159094,3.627343,4.959757,-6.732683,15.700898,-12.488501,5.405433,1.520208,-3.273031,5.759187,-1.036108
"US",5.682996,-2.748667,3.640962,12.236309,-6.705447,11.999634,-11.594457,4.881366,3.413206,-3.139897,3.888169,-2.508245
"US",3.301745,-2.014823,2.777388,9.457360,-6.692003,13.366507,-9.186021,4.477408,-0.045509,-1.460349,3.566679,-3.122180
"US",4.799054,-6.245275,6.898825,6.102543,-7.057811,14.112248,-11.009447,3.134385,-0.629933,-2.914973,2.712781,-5.739362
"US",3.627143,-2.128629,3.761608,10.183371,-7.404461,10.500445,-11.750550,5.921767,0.604630,-3.865957,3.854043,-4.151060
"US",6.120900,-4.859301,8.130353,12.930176,-7.069042,10.366871,-11.495180,6.847753,-0.679473,-8.262751,3.871769,-6.297462
"US",0.911133,-1.559606,5.312831,10.843302,-6.349266,11.693060,-10.462261,6.839845,-0.474565,-4.587664,2.214455,-5.773565
"US",4.552812,-2.752203,1.098514,6.388619,-6.479898,13.542793,-10.152407,8.267103,2.885599,-3.384806,6.308748,-2.511316
"US",14.790790,-9.220383,5.906264,12.008123,-7.222838,8.156371,-10.775168,5.459876,2.250661,-3.142411,3.322537,-13.724103
"US",7.684193,-7.162805,2.720460,7.488472,-8.619517,9.110789,-9.630700,5.577506,-0.708973,-4.286376,4.091320,-6.395420
"US",9.220341,0.666597,-0.605910,3.768640,-10.682721,11.170417,-7.008736,7.770188,-1.872768,-3.419989,2.900203,-8.461438
"US",5.911060,-5.822324,2.621757,6.061832,-6.929230,11.707366,-12.228676,3.920201,-3.528176,-6.458098,4.673452,-6.254988
